Comment,Sentiment;;
lets not forget that apple pay in 2014 required a brand new iphone in order to use it a significant portion of apples user base wasnt able to use it even if they wanted to as each successive iphone incorporated the technology and older iphones were replaced the number of people who could use the technology increased,neutral;;
here in nz 50 of retailers don’t even have contactless credit card machines like paywave which support apple pay they don’t like the high fees that come with these,negative;;
i will forever acknowledge this channel with the help of your lessons and ideas explanations now its quite helpful while youll just sit at your comfort and monitor your account growth,positive;;
whenever i go to a place that doesn’t take apple pay doesn’t happen too often it’s such a drag between ‘contactless covid’ habits and my getting the apple card i’ve gotten so used to apple pay that i get seriously annoyed when a store doesn’t take it it feels like a shock it’s crazy how quickly it took over my shopping routine i’ve officially been brainwashed by apple because now it feels so inconvenient to even carry a physical card in my pocket,negative;;
apple pay is so convenient secure and easy to use i used it while at the korean and japanese airports no need for physical credit cards,positive;;
we’ve been hounding my bank to adopt apple pay i understand why they don’t want to do it with the extra fees but its just so easy and quick at the checkout,neutral;;
we only got apple pay in south africa in 20202021 and it’s widely accepted,positive;;
for now i need both apple pay and the physical credit card,neutral;;
in the united states we have an abundance of retailers that accept apple pay but its still good to carry the physical card with you being there are still a large quantity of places that do not accept apple pay,positive;;
in cambodia we have a universal qr code system we scan and send money back and forth all banks take no profit from merchant they receive 100 of the payment a lot of stores and supermarkets start abandon pos machine all together,neutral;;
wow you really went to town on the psu test rack thats a serious bit of kit very flexible good choices wouldnt surprise me if choma start offering this bespoke rack to the psu makers they all watch your videos so theyll want to make sure it passes on this exact same rack you can really push the industry here well done open source the test interface hardware and software,positive;;
the lab is the most exciting thing in it ive seen for a while this is reallly going to shake up how the qualiity of even basic components are manufactured,positive;;
linus im an engineer and love the lmg content across all the channels very much looking forward to more lab content and hope your engineering team will get more on camera time and hosting roles,positive;;
there used to be a time where linus was the smartest guy in the room this video clearly shows that the team he has built are experts in their respective fields and make linus look like a child kudos to linus and lmg youve grown beyond what i imagined all the best,positive;;
holy crap i was looking at chroma systems back when i was designing power supplies looks like you guys went all out re the multimeter most oscilloscopes are terrible for making accurate voltage measurements 810 bit adcs they are just for looking at the waveforms,negative;;
